IncidentNum,DateTime,Lat,Lon,Address,IncidentType,ActionTaken,Remarks
2021000007393,09/29/2021 14:01,42.5027767,-71.2737209,"200 Springs Rd #262, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call reporting a medical emergency at  the VA Hospital 200 Springs Rd, building 4C apt 262. Medic 2  and Squad 1 responding. Medic 2 transported one to Lahey Hospital. "
2021000007394,09/29/2021 15:54,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from the VA Hospital reporting a medical emergency, Urgent Care Building 78. Medic 2 and  Squad 1 responding. Medic 2 transported one to Lahey Hospital. "
2021000007395,09/29/2021 16:04,42.4866978,-71.2689326,"1 Ashby Pl c2, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC, Received a call reporting a residential lockout at C2 Ashby Pl. S1 and Car3 Weisenborn dispatched. S1 reports  resident was assisted. 
2021000007396,09/29/2021 16:17,42.4928408,-71.2827344,"2 Mudge Way, Bedford, MA 01730, USA",Property Damage,Report, Sgt Waite requested a log item for property damage.  See his report. 
2021000007397,09/29/2021 16:27,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",MV Crash - Injury,Report," Received a 911 call reporting a two car motor vehicle accident at 30 North Rd.  Car 2 Officer Isnor,  Car 3 Officer  Weisenborn, Engine 3, and Billerica  P150 responding. FD reports one signed patient refusal and one individual  needed no EMS services.  See Officer Isnor's report. "
2021000007398,09/29/2021 17:00,42.4892974,-71.2704147,"214 Great Rd, Bedford, MA 01730, USA",MV Stop,Warning - Written, No dispatcher remarks listed. 
2021000007399,09/29/2021 17:33,42.4913232,-71.2853793,"9 Mudge Way, Bedford, MA 01730, USA",MV Stop,Warning - Written, No dispatcher remarks listed. 
2021000007400,09/29/2021 17:38,42.4848159,-71.2609948,"345 Great Rd, Bedford, MA 01730, USA",MV Violation,Report, Car3 Weisenborn reports out with a MV Violation at 345 The Great Rd. Mal's notified for the tow. See report. 
2021000007401,09/29/2021 17:41,42.4905454,-71.2715516,"200 Great Rd, Bedford, MA 01730, USA",MV Stop,Citation Issued, No dispatcher remarks listed. 
2021000007402,09/29/2021 17:59,42.4886579,-71.269875,"Sunset Rd & Great Rd, Bedford, MA 01730, USA",MV Stop,Warning - Written, No dispatcher remarks listed. 
2021000007403,09/29/2021 18:12,42.484813,-71.2598811,"358 Great Rd, Bedford, MA 01730, USA",Larceny,Report," Received a call from a party reporting he didn't get all the cash from lottery tickets that he should have at Great Rd.  Shell. Car3 Weisenborn dispatched, see report. "
2021000007404,09/29/2021 18:34,42.5025825,-71.238716,"199 Burlington Rd, Bedford, MA 01730, USA",MV Stop,Warning - Written, No dispatcher remarks listed. 
2021000007405,09/29/2021 18:46,42.4957438,-71.2410406,"52 Robinson Dr, Bedford, MA 01730, USA",911 - Hangup or Abandonded,Spoken To," Received a wireless 911 hang up from area 52 Robinson Drive. On call back caller reported he daughter was playing  with the phone, no emergency. "
2021000007406,09/29/2021 19:53,42.4906994,-71.2744937,"152 Great Rd, Bedford, MA 01730, USA",911 - Hangup or Abandonded,Spoken To," Received a wireless 911 hang up all from the area of Red Heat Tavern, 152 The Great Rd. On call back caller  reported call was accidental, there was no emergency. "
2021000007407,09/29/2021 20:15,42.5006278,-71.2511883,"Old Burlington Rd & Burlington Rd, Bedford, MA 01730, USA",MV Stop,Warning - Verbal, No dispatcher remarks listed. 
2021000007408,09/29/2021 20:26,42.502026,-71.237759,"200 Burlington Rd, Bedford, MA 01730, USA",MV Stop,Warning - Written, No dispatcher remarks listed. 
2021000007409,09/29/2021 20:56,42.4856669,-71.2642127,"297 Great Rd, Bedford, MA 01730, USA",MV Stop,Warning - Written, No dispatcher remarks listed. 
2021000007410,09/29/2021 21:43,42.5224637,-71.2497881,"165 Middlesex Turnpike, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car 9 Waite reported a check of Middlesex Turnpike/Bedford Woods area. 
2021000007411,09/29/2021 22:04,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Informational,Spoken To, Received a call from a female party requesting to speak to a Officer regarding possible drug activity at the Bedford  Motel. Officer Weisenborn spoke to the caller and advised there would be patrols through the area. 
2021000007412,09/29/2021 22:18,42.6726721,-71.2905297,"Dracut Police Department-Headquarters, 110 Loon Hill Rd, Dracut, MA 01826, USA",NEMLEC Call Out,For Log Only, ECO Vinciulla reported he was going to Dracut for NEMLEC. 
2021000007413,09/29/2021 22:21,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Notification," Car 3 Weisenborn reported while checking the Bedford Motel, he observed the male party involved in the previous  incident  (2021-7411) sitting outside. All was in order. "
2021000007414,09/30/2021 00:43,42.4902431,-71.2741501,"168 Great Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007415,09/30/2021 00:51,42.486273,-71.274949,"5 Deangelo Dr, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car11 Busa reports check of 5 DeAngelo Drive. 
2021000007416,09/30/2021 01:05,42.485008,-71.2576052,"1 Shawsheen Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007417,09/30/2021 01:11,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007418,09/30/2021 01:33,42.4957654,-71.2849153,"39 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007419,09/30/2021 04:02,42.4949795,-71.2848689,"25 North Rd, Bedford, MA 01730, USA",Noise Complaint,Gone On Arrival," Received a call reporting a trash truck is emptying the dumpster at Sullivan Tire, Car2 Reid dispatched. Officer Reid  was unable to locate the truck after checking other businesses in the area. "
2021000007421,09/30/2021 07:19,42.4842169,-71.3004825,"245 Concord Rd, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," Received a call reporting a central station fire alarm at 245 Concord Road. Car2-Isnor, Eng-3, Lad-1, Medic-2  dispatched. Transmitted box 25. FD reports smoke from cooking set off the alarm. "
2021000007422,09/30/2021 07:43,42.4832241,-71.3055863,"5 Glen Terrace, Bedford, MA 01730, USA",Alarm Resident,Spoken To," Received a call from American Alarm reporting a residential burglar alarm at 5 Glen Terrace, the Smith residence.   Car 3 Officer Isnor and Car 3 Officer Maloney dispatched. Officer spoke with the resident, all is in order. "
2021000007423,09/30/2021 09:17,42.5162864,-71.2419455,"125 Middlesex Turnpike, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call reporting a medical at 125 Middlesex Turnpike. Car5-Hunt, Eng-3 and Medic-2 dispatched.  Medic-2 transported to Winchester, 11 miles. "
2021000007424,09/30/2021 09:22,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," Received a call from Fire Equipment Inc. reporting a fire alarm activation at 200 Springs Rd, Building 4.  Ladder 1  responding. Ladder 1 reports that the hallway smoke alarm was activated by a steam leak.  VA Hospital facilities are  on scene. "
2021000007425,09/30/2021 10:26,42.4842516,-71.2623735,"337 Great Rd, Bedford, MA 01730, USA",Property - Any L/F/R,Returned, Party into station reporting he lost his phone at the Stop and Shop.  He called his phone and  the resident at 65  Neillian Way stated that he had has his phone.  Party is asking for assistance retrieving his phone.  Car 3 Officer  Maloney dispatched. Officer Maloney escorted party to 65 Neillian way to retrieve the phone. Phone was returned to  the owner. 
2021000007426,09/30/2021 11:06,42.4740173,-71.2647906,"58 Summer St, Bedford, MA 01730, USA",Fraud,Report, Party into station to report fraud.  Officer Maloney dispatched. See report. 
2021000007427,09/30/2021 11:10,42.4851486,-71.2601131,"346 Great Rd, Bedford, MA 01730, USA",Disturbance,Report," Caller reports a disturbance between a male and female at the McDonalds, 346 The Great Rd. Car 5 Officer Hunt,  Car 2 Officer Isnor, and Car 4 Sgt Naylor dispatched. See Officer Hunt's report. "
2021000007428,09/30/2021 12:50,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call reporting a medical emergency at  the VA Hospital Building 4D.  Squad 1 and Medic 2  responding. Medic 2 transported one to Lahey Clinic, 5.5 miles. "
2021000007430,09/30/2021 15:00,42.5011465,-71.2850777,"6 Carter Wy, Bedford, MA 01730, USA",Larceny,Report," Resident of 6 Carter Way into lobby reporting a past larceny. Car 2 Isnor, Car10 Towle dispatched. See Officer  Isnor's report. "
2021000007432,09/30/2021 15:40,42.4854544,-71.2813642,"20 Railroad Ave a, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from 20A Railroad Ave requesting EMS for a Medical. Medic-2, E-3 dispatched. Medic-2  transported 1 to Emerson 6.2 miles. "
2021000007433,09/30/2021 15:40,42.485008,-71.2576052,"1 Shawsheen Rd, Bedford, MA 01730, USA",Check Well Being,Report," Received a call requesting a well being check on the operator of MA/PC 286ELR. RP reports her sister left Lexington  in a ""distraught"" state and may be heading to the Shawsheen Cemetery. Car2 Isnor dispatched. Officer Isnor reports  out with that party at the cemetery and standing by until her family arrives. See report. "
2021000007434,09/30/2021 15:41,42.4892926,-71.266352,"Hill Rd & Brooksbie Rd, Bedford, MA 01730, USA",MV Violation,Report, Car 3 Weisenborn requests a tow for a MV violation at Hill Road and Brooksbie Road. With SGT Towle's approval  Mal's was notified and is responding. See Officer Weisenborn's report. 
2021000007435,09/30/2021 16:43,42.4890462,-71.2725406,"199 Great Rd, Bedford, MA 01730, USA",MV Stop,Warning - Written, 1DSP94 
2021000007436,09/30/2021 17:10,42.4897046,-71.313474,"17 Clark Rd, Bedford, MA 01730, USA",Property - Any L/F/R,Returned," Resident of 17 Clark Road into station to turn in found property on Clark Road. Car 2 Isnor dispatched. See incident  number (2021, 7433). **UPDATE** Edward Pittman into station at 20:15 HRS to pick up the found property. "
2021000007437,09/30/2021 19:18,42.5158808,-71.2522476,"9 Oak Park Dr, Bedford, MA 01730, USA",Alarm Commercial,Cancelled Response," Received a call from Centra Alarm reporting a commercial burglar alarm at Cytonome, 9 Oak Park Drive. Car 3  Weisenborn, car 2 Isnor dispatched. Prior to arriving cars were canceled upon request of the alarm company. "
2021000007438,09/30/2021 19:21,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from VA Police Department requesting an ambulance for a medical at the VA Urgent care, 200  Springs Road, building 78. Squad 1, Medic 2 responding. Medic 2 transported one to Lahey. 6.6 Miles. "
2021000007439,09/30/2021 19:37,42.4922866,-71.2711944,"2 Bedford Village A, Bedford, MA 01730, USA",209A Service or Attempt,Served In Hand, Received a fax from Burlington PD for 209A to be served to the defendant at the residence of 2 Bedford Village  apartment A. Car 3 Weisenborn dispatched. Officer Weisenborn reports the 209A was served in hand. 
2021000007440,09/30/2021 19:49,42.4972722,-71.27299,"142 Page Rd, Bedford, MA 01730, USA",MV Stop,Warning - Verbal, 1fjy53 
2021000007441,09/30/2021 20:01,42.488059,-71.304148,"4 Lexington Cir #4, Bedford, MA 01730, USA",Trespass Letter on File,Served In Hand, Received a call from Malden PD requesting a Trespass Notice be served to the resident of 4 Lexington Circle. Car 2  Isnor dispatched. Officer Isnor reported the notice was served in hand to the resident. Malden PD was advised of the  same. 
2021000007442,09/30/2021 20:29,42.485583,-71.2606004,"340 Great Rd, Bedford, MA 01730, USA",Noise Complaint,Spoken To, Received a call from room 103 at the Bedford Plaza Hotel reporting loud music coming from inside the hotel. Caller  was unsure on the exact location of the music. Car 11 Busa dispatched. Officer Busa reported the music was coming  from the pool area. Manager reported this was music that was put on by the hotel for guests in the pool area. Officer  Busa spoke to the caller and informed him of same. 
2021000007443,09/30/2021 21:03,42.4725262,-71.2756824,"400 South Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007444,09/30/2021 21:47,42.5043073,-71.2526884,"16 Meadowbrook Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car 3 Weisenborn reports a directed patrol of 16 Meadowbrook Road. All is in order. 
2021000007445,09/30/2021 22:11,42.4958919,-71.269533,"123 Page Rd, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC, Received a 911 call from the resident of 123 
2021000007446,09/30/2021 23:28,42.4783895,-71.2649623,"26 Wiggins Ave, Bedford, MA 01730, USA",911 - Hangup or Abandonded,Spoken To," 911 hangup from the area of 26 Wiggins Ave, no answer on call back, Car3 Weisenborn dispatched. Received a 2nd  911 call from the same number, no answer on call back. Officer Weisenborn spoke to a male party in the area who  stated he dialed 911 by accident, no emergencies. "
2021000007447,10/01/2021 00:06,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007448,10/01/2021 00:20,42.4863889,-71.2612036,"328 Great Rd, Bedford, MA 01730, USA",Suspicious MV or Pers,Spoken To, Car3 Weisenborn reports off with  MV in front of the stores at 328 The Great Road.  Spoke to the RO who is a  business owner locking up for the night. 
2021000007449,10/01/2021 00:31,42.5043073,-71.2526884,"16 Meadowbrook Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car3 Weisenborn reports check of 16 Meadowbrook Road. 
2021000007450,10/01/2021 00:39,42.4957654,-71.2849153,"39 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007451,10/01/2021 06:28,42.4861456,-71.2701827,"13 Ashby Rd, Bedford, MA 01730, USA",Odor Gas/Oil/Other,Fire Incident - Closed FC," 911 call from 13 Ashby Road reporting the stove burner was left on during the night E3, Squad1, Medic2, and Car3  Weisenborn dispatched. E3 reports no readings, resident advised. "
2021000007452,10/01/2021 07:33,42.4856692,-71.2871193,"2 Richard Rd, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," Received a call reporting a fire alarm sounding at 2 Richard Rd., caller reports seeing a puff of smoke but no smoke  now. Box 2415 struck, E2, L1, M2, C3, and Car3 Maloney dispatched, C3 reports no smoke, no readings, 1 smoke  detector that was sounding deactivated. C3 waited for the homeowner to respond. "
2021000007453,10/01/2021 08:27,42.48843,-71.26908,"Great Rd & Ashby Rd, Bedford, MA 01730, USA",Directed Patrol,Observed, Car 3 Maloney reported a directed patrol of the bus stop at Ashby Road and The Great Road with no violations. 
2021000007454,10/01/2021 09:40,42.4933189,-71.2847993,"2 Concord Rd, Bedford, MA 01730, USA",MV Crash No Injury,Report," Received a wireless 911 call from a resident of 296 North road reporting he has been in a 2 MV crash with no injuries  at 5 The Great Road. Prior to dispatch the caller reported that the operator of the other motor vehicle was leaving the  scene. Car 3 Maloney, Car 8 Hunt dispatched. Car 4 Naylor also responding. See Officer Maloney's report. "
2021000007455,10/01/2021 10:29,42.5184662,-71.2530829,"174 Middlesex Turnpike, Bedford, MA 01730, USA",Property Damage,Report, Received a call from a party at 174 Middlesex Turnpike requesting an officer to take a report of property damage.  Car 8 Hunt dispatched. See Officer Hunt's report. 
2021000007456,10/01/2021 11:05,42.4980899,-71.2415511,"22 Ledgewood Dr, Bedford, MA 01730, USA",Suspicious MV or Pers,Caller Advised," Received a call reporting a suspicious MV at 22 Ledgewood Dr. RP reports a female, possibly with light hair, carrying  a backpack left the car and headed towards Lido Ln. Car8 Hunt dispatched. Officer Hunt checked the area with  negative results. Caller advised "
2021000007457,10/01/2021 12:25,42.4913232,-71.2853793,"9 Mudge Way, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from the school nurse at the Bedford High School, 9 Mudge Way requesting an ambulance for a  medical. Squad 1, Medic 2, Car 11 Towle dispatched. Medic 2 transported one to Emerson. "
2021000007458,10/01/2021 12:45,42.4855392,-71.2817368,"22 Railroad Ave, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a wireless call from 22 Railroad Avenue requesting an ambulance for a medical. Engine 3, Squad 1, is  responding with Billerica P150. Billerica P150 transported one to Lahey. "
2021000007459,10/01/2021 13:12,42.5088847,-71.2362839,"44 Middlesex Turnpike, Bedford, MA 01730, USA",911 - Hangup or Abandonded,Spoken To," Received a 911 hangup call from the Doubletree, 44 Middlesex Trnpk. On callback employee reports accidental.  Car8 Hunt dispatched and verified no emergency "
2021000007460,10/01/2021 13:41,42.5011465,-71.2850777,"6 Carter Wy, Bedford, MA 01730, USA",Service Call,Report, Resident of 6 Carter Way into station requesting to speak to an officer.  Car 11 Towle dispatched. See SGT Towle's  report. 
2021000007461,10/01/2021 13:40,42.4856669,-71.2642127,"297 Great Rd, Bedford, MA 01730, USA",Park and Walk,Checked Area, Car8 Maloney reports a Park & Walk at GRSC 
2021000007462,10/01/2021 13:47,42.4917379,-71.2642431,"32 Brooksbie Rd, Bedford, MA 01730, USA",Civil Problem/Complaint,Report," Party into station requesting to speak with an officer regarding a civil matter. Car8 Hunt dispatched. Officer Hunt  spoke with the RP, see report "
2021000007463,10/01/2021 14:00,42.484311,-71.2622981,"325 Great Rd, Bedford, MA 01730, USA",Property Damage,For Log Only," Anonymous party reported to Officer Maloney that MA/PC 1AFF64 may have been hit in the parking lot at HFCU, 325  The Great Rd. RP has left a note on the vehicle. "
2021000007464,10/01/2021 14:17,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",Animal Call,VA PD Notified," Received an anonymous call from a party who is reporting two dogs in a crate that is in the bed of a pick up at the  MCC lot at the VA Hospital, 200 Springs Road. Car 3 Maloney dispatched, Officer Maloney reports the dogs are not  in distress and requests the VA be notified. VA notified. "
2021000007465,10/01/2021 14:32,42.477526,-71.2597419,"19 Curve St, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," Received a 911 call from the resident at 19 Curve Street requesting a lift assist. Medic 2, Squad 1, Car 3 Maloney  dispatched. Medic obtained a signed refusal. "
2021000007466,10/01/2021 14:35,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from the VA Police requesting an ambulance at the VA Hospital in building 62B. Engine 3, and  Lexington Medic 1 responding. Lexington Medic 1 transported one to Lahey. "
2021000007467,10/01/2021 15:11,42.4984642,-71.2777463,"88 Hancock St, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from 88 Hancock Street requesting EMS for a Medical. Medic-2, S-1, Car 8 Hunt dispatched.  Medic-2 transported 1 to Lahey. "
2021000007468,10/01/2021 15:56,42.4927101,-71.2737655,"16 Bedford Village C, Bedford, MA 01730, USA",Check Well Being,Report," Received a call from Fire HQ reporting they had a female party at their station reporting she is unable to locate her  daughter. Car 11 Busa dispatched. Officer Busa reported this was a well being check and  he would be responding  with FD to 16C Bedford Village to attempt to check the well being of the RP Daughter. S-1 requested EMS to scene.  Medic-2, E-3 responding. Medic-2 transported 1 to Lahey. See report. "
2021000007469,10/01/2021 16:03,42.4917379,-71.2642431,"32 Brooksbie Rd, Bedford, MA 01730, USA",Civil Problem/Complaint,Report," Recieved a wireless 911 call from the resident of 32 Brooksbie Road reporting that the party that was involved in an  incident that occured earlier today has returned. (see incident number 2021,7462). "
2021000007470,10/01/2021 16:31,42.4812737,-71.2821544,"1 Patriot Cir, Bedford, MA 01730, USA",Fraud,Report, Resident of 1 Patriot Circle into station to file a report of fraud. Car 2 Reid dispatched. See Officer Reid's report. 
2021000007471,10/01/2021 17:06,42.4770287,-71.2685354,"276 South Rd, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," Received a call from 276 South Rd reporting her CO Alarm is sounding, no illness reported. E-3, S-1, Car 8 Hunt  dispatched. Command reported faulty detector, no readings found, homeowner to handle. "
2021000007472,10/01/2021 17:31,42.4727739,-71.2747508,"386 South Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car 3 Hunt reported a check of the South Rd Soccer Field. 
2021000007473,10/01/2021 17:58,42.4913232,-71.2853793,"9 Mudge Way, Bedford, MA 01730, USA",Property - Any L/F/R,Fire Incident - Closed FC, Party into station with a Debit Card she found in the parking lot of the High School. Car 3 Hunt notified the property  owner. **Update 18:30 property owner picked up her property. 
2021000007474,10/01/2021 19:51,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC, Received a 911 call from a nurse at the VA Hospital in building 62B on the first floor requesting an ambulance for a  medical. Squad 1 responding with Billerica P15. VA PD notified. BP15 transported one to Lahey. 
2021000007475,10/01/2021 20:46,42.5043073,-71.2526884,"16 Meadowbrook Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car 2 Reid reported a check of 16 Meadowbrook Road. 
2021000007476,10/01/2021 20:56,42.5082518,-71.2351702,"40 Middlesex Turnpike, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007477,10/01/2021 21:54,42.485583,-71.2606004,"340 Great Rd, Bedford, MA 01730, USA",Suspicious MV or Pers,Spoken To," Received a call from a party staying in room 103 at the Bedford Plaza Hotel reporting he believes the guests in the  room next door put an unknown object through the wall of his bathroom. Car 11 Busa and Car 2 Reid dispatched.  Officer Busa reports all is in order, the party in the room next door was removing the bathroom vanity from the wall.  Officer Busa spoke to the caller and informed him of the findings. "
2021000007478,10/02/2021 00:09,42.4945093,-71.2861449,"30 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007479,10/02/2021 00:18,42.5043073,-71.2526884,"16 Meadowbrook Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car3 Weisenborn reports check of 16 Meadowbrook Road. 
2021000007480,10/02/2021 00:22,42.4957654,-71.2849153,"39 North Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007481,10/02/2021 00:29,42.5088847,-71.2362839,"44 Middlesex Turnpike, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007482,10/02/2021 04:27,42.5640642,-71.5920067,"54 Park St, Ayer, MA 01432, USA",NEMLEC Call Out,For Log Only, ECO Vinciulla reports NEMLEC callout to Ayer. 
2021000007483,10/02/2021 08:57,42.4902431,-71.2741501,"168 Great Rd, Bedford, MA 01730, USA",Alarm (Other),Spoken To, Received a 3SI tracker tool activation for the Brookline Bank. All patrol units dispatched. The officers reported that  they spoke with the branch manager and it was set off by accident. 
2021000007484,10/02/2021 07:54,42.485583,-71.2606004,"340 Great Rd, Bedford, MA 01730, USA",Serve Court Documents,No Contact, Received notification of a probation violation with a warrant to detain a person that may be staying at the Bedford  Plaza Hotel. All patrol units were dispatched. The officers report the person in question is not at that location. 
2021000007485,10/02/2021 09:54,42.5052178,-71.2698008,"100 Pride Way, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a cell phone 911 call requesting an ambulance to 100 Pride Way, Apt-325. VAPD notified. Sqd-1 and  Medic-2 dispatched. Medic-2 transported the patient to the hospital. "
2021000007486,10/02/2021 10:04,42.4913232,-71.2853793,"9 Mudge Way, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a cell phone 911 call reporting a medical on the football field at the Bedford High School. Car8-Hunt, Eng-3  and Concord Amb-3 dispatched. FD Command reports that the patients parents will be transporting their son to the  hiospital. Amb-3 cancelled. "
2021000007487,10/02/2021 10:45,42.502116,-71.2800663,"72 Pine Hill Rd, Bedford, MA 01730, USA",Directed Patrol,No Enforcement Action Taken, Car8-Hunt conducted a speed enforcement directed patrol on Pine Hill Road near the Water Tower. No violations  were observed. 
2021000007488,10/02/2021 10:54,42.5027767,-71.2737209,"200 Springs Rd, Bedford, MA 01730, USA",911 - Hangup or Abandonded,Spoken To, Received a 911 cell phone hang-up call from the Patriot Golf Course. On the call back I spoke with a party who  related that the call was made in error. 
2021000007489,10/02/2021 11:00,42.4883493,-71.2875941,"Winchester Dr & McMahon Rd, Bedford, MA 01730, USA",Property - Any L/F/R,Returned," Party into the station with a wallet that he found on Winchester Drive near McMahon Road. The property owner came  into the station right after to claim the wallet. Nothing was missing, no further police action is needed.  **UPDATE** Property owner into station to retrieve his wallet 17:45 "
2021000007490,10/02/2021 13:16,42.5010995,-71.2590226,"100 Old Billerica Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC," Received a 911 call from Carleton Willard Village, 100 Old Billerica Road requesting an ambulance. Car5-Lavine,  Sqd-1 and Medic-2 dispatched. Medic-2 transported to the hospital. "
2021000007491,10/02/2021 14:28,42.4923133,-71.2719802,"8 Bedford Village D, Bedford, MA 01730, USA",Assist Fire Department,Fire Incident - Closed FC," Received a 911 from Bedford Village, Apt. D reporting alarms sounding and smell of smoke in the hallway. Also  received a call from Instant Alarm reporting a central station fire alarm activation. Zones coming in as first floor  smoke and first floor pull station. Engine3, Ladder1, and Medic2 responding. Command reports that the cause for the  smoke was plastic in the microwave. There was no fire.  The apartment was vented. System took a reset. "
2021000007492,10/02/2021 15:04,42.4740374,-71.2713427,"13 Saran Ave, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC, Received a call from Be Safer at Home Medical Alarm reproting a fall with unknown injuries at 13 Saran Avenue.  Engine3 and Medic2 responding. Car11 Kennedy disaptched. Command reports they assisted the resident back into  his chair. 
2021000007493,10/02/2021 15:22,42.4740374,-71.2713427,"13 Saran Ave, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC, Received a second call from Be Safer at Home Medical Alarm reporting a fall with no injuries at 13 Saran Avenue.  Engine3 and Medic2 responding. Car11 Kennedy dispatched. Medic2 transported one to Lahey. 
2021000007494,10/02/2021 17:35,42.3031893,-71.3475281,"20 Centre St, Natick, MA 01760, USA",NEMLEC Call Out,For Log Only, ECO Vinciulla reports a NEMLEC call out to Natick. 
2021000007495,10/02/2021 17:48,42.4932709,-71.2829693,"MA-4 & Mudge Way, Bedford, MA 01730, USA",Property - Any L/F/R,Report, Concord resident into station to turn in property that was found at the playground at 4 Mudge Way. Car 5 Lavine  dispatched. Car 4 SGT Saunders took the call. See SGT Saunders report. 
2021000007496,10/02/2021 18:23,42.4898313,-71.2726771,"Blue Ribbon Plaza, 186 Great Rd, Bedford, MA 01730, USA",Alarm Commercial,Checked/Secured," Received a call from Securitas Security reporting a commercial burglar alarm at Starbucks Coffee, 186 The Great  Road. Zone coming in as the rear door. Car11 Kennedy and Car4 Sgt. Saunders dispatched. Officer Kennedy reports  the doors are locked and secured. Car4 Sgt. Saunders cancelled prior to arrival. "
2021000007497,10/02/2021 19:11,42.5164239,-71.2706931,"331 Springs Rd, Bedford, MA 01730, USA",Ambulance,Fire Incident - Closed FC, Received a 911 call from 331 Springs Road requesting EMS for a medical. Squad1 and Medic2 responding. Car5  Lavine dispatched. Medic2 transported one to Lahey Clinic. 
2021000007498,10/02/2021 19:28,42.5043073,-71.2526884,"16 Meadowbrook Rd, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car3 Weisenborn conducted a directed patrol of 16 Meadowbrook Road. All is in order. 
2021000007499,10/02/2021 19:31,42.4856669,-71.2642127,"297 Great Rd, Bedford, MA 01730, USA",Patrol Initiated Area Check,Checked Area, No dispatcher remarks listed. 
2021000007500,10/02/2021 19:42,42.5151088,-71.252062,"11 Oak Park Dr, Bedford, MA 01730, USA",Directed Patrol,Checked Area, Car3 Weisenborn conducted a directed patrol of 11 Oak Park Drive. All is in order. 
2021000007501,10/02/2021 19:50,42.5088847,-71.2362839,"44 Middlesex Turnpike, Bedford, MA 01730, USA",MV Stop,Citation Issued, 9SC737. Civil citation issued. 
